latitude,longitude,presence,bio1,bio2,bio3,bio4,bio12
59.79569384530001,6.387360365599999,true,5,54,238,6026,2391
61.7706938374,6.504027031799999,true,31,49,223,6025,1919
59.2540271808,6.512360365099999,true,26,54,239,5990,1964
59.29569384730001,6.512360365099999,true,29,54,238,6023,2251
59.2623605141,6.520693698399999,true,29,54,239,6012,2020
60.554027175600005,6.5873603647999985,true,37,56,234,6449,1351
61.004027173800004,6.6040270313999985,true,0,56,234,6417,1473
59.187360514400005,6.612360364699999,true,23,55,241,6027,1982
59.47902717990001,6.612360364699999,true,26,56,239,6168,1945
59.47902717990001,6.620693697999998,true,25,56,239,6170,1961
60.97902717390001,6.620693697999998,true,-1,56,234,6425,1627
59.3123605139,6.629027031299999,true,29,56,240,6122,1915
59.47902717990001,6.629027031299999,true,25,56,239,6178,1907
61.004027173800004,6.637360364599998,true,-5,56,234,6430,1420
59.47069384660001,6.645693697899999,true,18,56,240,6167,2047
61.02069384040001,6.645693697899999,true,24,56,232,6526,1078
60.92902717410001,6.654027031199999,true,-5,56,235,6432,1699
59.4373605134,6.662360364499999,true,11,56,241,6149,2192
59.462360513300005,6.662360364499999,true,22,56,240,6190,1884
61.02069384040001,6.662360364499999,true,3,56,233,6474,1219
59.037360515,6.687360364399999,true,25,55,242,5992,1766
59.4873605132,6.687360364399999,true,21,56,240,6216,1970
59.504027179800005,6.687360364399999,true,29,56,239,6244,2096
59.47902717990001,6.695693697699999,true,12,56,241,6191,2229
59.4873605132,6.695693697699999,true,21,56,240,6221,2003
59.512360513100006,6.695693697699999,true,18,56,240,6221,2293
59.47069384660001,6.704027030999999,true,3,57,242,6168,2390
59.504027179800005,6.704027030999999,true,33,57,239,6268,1803
61.012360507100006,6.704027030999999,true,-11,56,234,6460,1436
59.5290271797,6.7123603642999985,true,10,57,241,6215,2387
59.5290271797,6.720693697599999,true,12,57,241,6226,2258
59.462360513300005,6.729027030899998,true,1,57,242,6177,2496
59.504027179800005,6.729027030899998,true,24,57,240,6261,1860
59.52069384640001,6.729027030899998,true,27,57,239,6276,1866
59.56236051290001,6.729027030899998,true,28,57,239,6292,1796
59.4373605134,6.737360364199999,true,9,57,242,6203,2111
59.4456938467,6.737360364199999,true,10,57,242,6208,2160
59.504027179800005,6.737360364199999,true,18,57,240,6251,1899
59.512360513100006,6.737360364199999,true,28,57,240,6285,1773
59.545693846300004,6.745693697499998,true,21,57,240,6280,1815
59.554027179600006,6.754027030799999,true,23,57,240,6290,1782
59.56236051290001,6.762360364099998,true,24,57,240,6303,1745
59.545693846300004,6.779027030699999,true,1,57,242,6238,2200
59.454027180000004,6.787360363999999,true,4,57,242,6229,2229
59.7123605123,6.787360363999999,true,2,57,240,6288,2308
59.012360515100006,6.804027030599999,true,21,56,243,6047,1704
59.462360513300005,6.812360363899999,true,9,58,242,6265,1848
59.57069384620001,6.8206936971999985,true,33,58,239,6377,1386
59.637360512600004,6.8206936971999985,true,53,57,236,6460,1486
59.47902717990001,6.829027030499999,true,2,58,243,6258,2042
59.545693846300004,6.8373603637999985,true,14,58,241,6325,1455
59.57069384620001,6.8373603637999985,true,34,58,239,6391,1421
59.5790271795,6.8373603637999985,true,21,58,240,6355,1792
59.637360512600004,6.8373603637999985,true,43,58,238,6438,1485
59.42902718010001,6.845693697099999,true,9,58,243,6278,1702
59.545693846300004,6.845693697099999,true,12,58,241,6323,1473
59.679027179100004,6.845693697099999,true,12,58,240,6356,2152
59.56236051290001,6.854027030399998,true,29,58,240,6388,1314
59.554027179600006,6.862360363699999,true,22,58,240,6370,1382
59.687360512400005,6.862360363699999,true,12,58,240,6368,2033
58.729027182900005,6.870693696999998,true,30,53,239,5864,2096
59.779027178700005,6.870693696999998,true,6,57,240,6371,1580
59.8123605119,6.870693696999998,true,4,57,239,6369,1843
59.554027179600006,6.879027030299999,true,17,58,241,6364,1506
59.645693845900006,6.879027030299999,true,39,58,238,6460,1375
59.545693846300004,6.887360363599998,true,13,58,241,6360,1431
59.870693845000005,6.895693696899999,true,7,57,239,6405,1728
59.79569384530001,6.904027030199998,true,11,58,239,6411,1538
58.78736051600001,6.912360363499999,true,26,55,241,5940,1999
59.770693845400004,6.912360363499999,true,-11,58,241,6343,1709
59.8540271784,6.912360363499999,true,15,58,238,6441,1692
59.087360514800004,6.920693696799999,true,29,58,243,6216,1619
59.47902717990001,6.920693696799999,true,2,58,243,6328,1778
59.645693845900006,6.920693696799999,true,52,58,237,6534,1140
59.770693845400004,6.920693696799999,true,-7,58,241,6359,1563
59.8040271786,6.9290270300999985,true,-12,58,241,6356,1944
59.829027178500006,6.9290270300999985,true,9,58,239,6428,1557
58.820693849200005,6.937360363399999,true,25,55,242,5987,1996
58.8540271824,6.937360363399999,true,23,56,243,6010,1978
59.6290271793,6.937360363399999,true,18,58,240,6431,1359
59.637360512600004,6.937360363399999,true,32,58,239,6482,1251
