latitude,longitude,presence,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
42.41236058150001,8.820693689200002,true,88.0,36.0,199.0,5050.0,187.0,7.0,180.0,77.0,153.0,164.0,25.0,1078.0,154.0,18.0,43.0,430.0,81.0,92.0,327.0
42.42069391480001,8.820693689200002,true,104.0,36.0,197.0,5071.0,204.0,23.0,181.0,93.0,170.0,181.0,41.0,1077.0,155.0,17.0,44.0,429.0,79.0,91.0,329.0
42.43736058140001,8.820693689200002,true,122.0,35.0,194.0,5099.0,222.0,41.0,181.0,111.0,188.0,200.0,58.0,939.0,142.0,13.0,47.0,386.0,62.0,73.0,300.0
42.57069391420001,8.820693689200002,true,165.0,32.0,178.0,5142.0,264.0,85.0,179.0,153.0,232.0,243.0,101.0,743.0,105.0,12.0,41.0,292.0,58.0,70.0,215.0
42.22069391560001,8.829027022500002,true,100.0,40.0,215.0,5093.0,203.0,17.0,186.0,89.0,166.0,177.0,36.0,1112.0,163.0,19.0,45.0,456.0,80.0,91.0,338.0
42.25402724880001,8.829027022500002,true,95.0,39.0,213.0,5082.0,197.0,12.0,185.0,84.0,161.0,172.0,31.0,1058.0,149.0,19.0,43.0,423.0,81.0,91.0,307.0
42.26236058210001,8.829027022500002,true,102.0,39.0,212.0,5093.0,205.0,19.0,185.0,91.0,168.0,179.0,38.0,1039.0,146.0,19.0,43.0,416.0,81.0,91.0,297.0
42.27069391540001,8.829027022500002,true,99.0,39.0,212.0,5088.0,201.0,16.0,185.0,88.0,165.0,176.0,35.0,1042.0,147.0,19.0,43.0,420.0,81.0,89.0,296.0
42.27902724870001,8.829027022500002,true,78.0,39.0,212.0,5056.0,180.0,-4.0,184.0,68.0,144.0,155.0,15.0,1098.0,158.0,19.0,44.0,446.0,81.0,91.0,328.0
42.28736058200001,8.829027022500002,true,67.0,39.0,212.0,5036.0,169.0,-14.0,183.0,57.0,133.0,144.0,4.0,1137.0,167.0,19.0,46.0,464.0,81.0,91.0,355.0
42.295693915300006,8.829027022500002,true,75.0,39.0,211.0,5049.0,176.0,-7.0,183.0,64.0,140.0,151.0,12.0,1129.0,165.0,19.0,45.0,455.0,81.0,93.0,359.0
42.30402724860001,8.829027022500002,true,95.0,38.0,209.0,5076.0,197.0,13.0,184.0,85.0,161.0,172.0,32.0,1064.0,153.0,18.0,44.0,422.0,78.0,90.0,338.0
42.31236058190001,8.829027022500002,true,101.0,38.0,208.0,5085.0,203.0,19.0,184.0,90.0,167.0,178.0,38.0,1033.0,149.0,18.0,44.0,411.0,78.0,86.0,326.0
42.22069391560001,8.837360355800003,true,91.0,40.0,216.0,5083.0,194.0,8.0,186.0,80.0,157.0,168.0,27.0,1145.0,167.0,20.0,46.0,468.0,82.0,94.0,350.0
42.25402724880001,8.837360355800003,true,85.0,40.0,214.0,5071.0,187.0,2.0,185.0,74.0,151.0,161.0,21.0,1089.0,154.0,20.0,43.0,438.0,83.0,94.0,319.0
42.26236058210001,8.837360355800003,true,100.0,39.0,213.0,5091.0,203.0,17.0,185.0,89.0,166.0,177.0,36.0,1055.0,149.0,19.0,43.0,424.0,81.0,91.0,304.0
42.27069391540001,8.837360355800003,true,101.0,39.0,212.0,5091.0,203.0,18.0,185.0,90.0,167.0,178.0,37.0,1025.0,145.0,19.0,43.0,414.0,81.0,87.0,289.0
42.27902724870001,8.837360355800003,true,82.0,39.0,212.0,5066.0,184.0,0.0,184.0,72.0,148.0,159.0,19.0,1071.0,154.0,18.0,45.0,437.0,79.0,86.0,313.0
42.28736058200001,8.837360355800003,true,59.0,39.0,213.0,5029.0,161.0,-22.0,183.0,49.0,125.0,135.0,-4.0,1127.0,165.0,18.0,46.0,462.0,78.0,90.0,347.0
42.295693915300006,8.837360355800003,true,59.0,39.0,212.0,5029.0,160.0,-23.0,183.0,49.0,124.0,135.0,-4.0,1129.0,165.0,19.0,46.0,457.0,80.0,91.0,357.0
42.30402724860001,8.837360355800003,true,84.0,39.0,210.0,5063.0,186.0,2.0,184.0,73.0,150.0,161.0,21.0,1083.0,156.0,19.0,44.0,430.0,81.0,91.0,343.0
